Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (? Cr)
06-Jun-22,14042.4,14081.2,13932.15,14054.1,1118638011,36351.46
07-Jun-22,13978.65,13990.2,13883.75,13935.6,1115312622,36823.37
08-Jun-22,13981.65,14020.45,13832.45,13886.9,1232230159,38330.14
09-Jun-22,13816.7,13989,13790,13977.1,1114495573,35811.69
10-Jun-22,13825,13860.05,13757.95,13781.75,1034024811,35630.6
13-Jun-22,13521.2,13527.75,13356.2,13416.9,1306394989,39484.31
14-Jun-22,13341.95,13506.5,13324.15,13388.3,1238442984,40017.93
15-Jun-22,13412.2,13448.45,13366.75,13380.85,973850504,32009.11
16-Jun-22,13508.7,13527.8,13064.05,13089.2,1385437449,42809.13
17-Jun-22,13011.4,13111.95,12903.85,12994.75,1644760699,56532.85
20-Jun-22,13026.15,13049.4,12855.55,12950.75,1553247536,40270.32
21-Jun-22,13042.8,13275.5,13019.35,13241.9,1452889416,39382.15
22-Jun-22,13176.1,13184.9,13028.35,13047.75,1284949775,35130.78
23-Jun-22,13081.9,13231.9,13021.25,13178.8,1235063774,39101.74
24-Jun-22,13269.2,13337.7,13247.95,13322.5,1194210708,36601.98
27-Jun-22,13506.35,13510.8,13432.65,13444.55,1203390156,36695.16
28-Jun-22,13389.85,13487.5,13330.75,13464.25,1242907282,36961.62
29-Jun-22,13337.65,13462.05,13328.2,13417.85,1413712508,42587.18
30-Jun-22,13410.8,13492.15,13352.4,13387.55,1296763256,44185.99
01-Jul-22,13335.25,13422.45,13192.9,13394.45,1292755474,43262.76
04-Jul-22,13378.4,13483.7,13337.2,13472.65,1090134381,35501.39
05-Jul-22,13533.75,13628.45,13439.4,13461.85,1143490261,36881.9
06-Jul-22,13472.8,13647.2,13443.35,13631.3,1162903383,42014.25
07-Jul-22,13736.95,13777.75,13687.55,13765.6,1222896680,41345.89
08-Jul-22,13873.75,13874.7,13770.9,13828.25,1090546667,37893.93
11-Jul-22,13771.4,13905.95,13755.75,13886.85,1251741611,39858.66
12-Jul-22,13823.6,13866.65,13757.3,13779,1229496938,35091.6
13-Jul-22,13842.8,13861.3,13714.2,13726.95,1101134452,38311.91
14-Jul-22,13771.2,13797.6,13617.15,13702.65,1079671317,38257.51
15-Jul-22,13761.1,13804.05,13695.2,13790.2,1083221905,37897.06
18-Jul-22,13883.8,13993.4,13877.6,13984.4,1171579610,39695.94
19-Jul-22,13922.55,14067.75,13922.35,14051.65,1281842335,39715.35
20-Jul-22,14220.2,14230.9,14140,14164.4,1356373232,45867.49
21-Jul-22,14172.8,14288.6,14141.65,14271.8,1382327096,44704.27
